Sentence,Technique,Span,article_id,active,euphimism,details,exaggeration,bragging,litote,repetition,metaphor,he said,apparent denial,apparent concession,blame transfer,other kinds,opinion,irony
"This marks the second straight month in which native-born LPRs have risen, year-over-year, relative to those of immigrants ADVANTAGE AMERICANS",Flag-Waving,ADVANTAGE AMERICANS,761969692,,,,,,,,,,,,,,,
This massive Democrat voter fraud could be the end of our free republic.,Appeal_to_fear-prejudice,This massive Democrat voter fraud could be the end of our free republic,999001293,,,,,,,,,,,,,,,
"This may seem an innocent mistake on the imam’s part, but his actions against the gay community and sinister views are anything but.",Doubt,"This may seem an innocent mistake on the imam’s part, but his actions against the gay community and sinister views are anything but",728169864,,,,,,,,,,,,,,,
"This means that his use of this language was a conspiratorial wink and nod to his immediate audience, a sly message to say, “People talk all the time about a gay lobby, but you and I both know this is mostly nonsense, propaganda from those people… those conservatives…We cool and hip people don’t hate gays, do we?”","Name_Calling,Labeling",cool and hip people,729578579,,,,,,,,,,,,,,,
"This means that his use of this language was a conspiratorial wink and nod to his immediate audience, a sly message to say, “People talk all the time about a gay lobby, but you and I both know this is mostly nonsense, propaganda from those people… those conservatives…We cool and hip people don’t hate gays, do we?”",Doubt,"We cool and hip people don’t hate gays, do we?”",729578579,,,,,,,,,,,,,,,
"This means that his use of this language was a conspiratorial wink and nod to his immediate audience, a sly message to say, “People talk all the time about a gay lobby, but you and I both know this is mostly nonsense, propaganda from those people… those conservatives…We cool and hip people don’t hate gays, do we?”",Loaded_Language,"nonsense, propaganda",729578579,,,,,,,,,,,,,,,
"This month has been quite a spectacle, even for this pontificate; an apparently unending stream of outrages and embarrassments, with the pope and his Vatican media support jumping from one scandal to the next.",Loaded_Language,unending stream of outrages and embarrassments,725498022,,,,,,,,,,,,,,,
"This news comes amid a surge in cases of plague in Madagascar, which is considered to be the “worst outbreak in 50 years” and now at “crisis” point.",Appeal_to_Authority,“worst outbreak in 50 years”,705035735,,,,,,,,,,,,,,,
This one pertains to an astonishing prophecy by Saint Francis of Assisi about a future occupant of the Chair of Peter:,Loaded_Language,an astonishing prophecy,706600938,,,,,,,,,,,,,,,
"This passage envisions some of the disbelievers becoming Muslim, and then turning away again, whereupon the Muslims are told to “kill them wherever you find them.” God’s inexhaustible mercy, indeed.",Repetition,“kill them wherever you find them.”,764664283,,,,,,,,,,,,,,,
"This passage envisions some of the disbelievers becoming Muslim, and then turning away again, whereupon the Muslims are told to “kill them wherever you find them.” God’s inexhaustible mercy, indeed.",Doubt,"God’s inexhaustible mercy, indeed",764664283,,,,,,,,,,,,,,,
"This passage envisions some of the disbelievers becoming Muslim, and then turning away again, whereupon the Muslims are told to “kill them wherever you find them.” God’s inexhaustible mercy, indeed.",Loaded_Language,"God’s inexhaustible mercy, indeed",764664283,,,,,,,,,,,,,,,
"This person said without a shred of doubt, we knew in 2009 a year before CFIUS ruled that Thomas were engaged in criminality, without a shadow of a doubt, we knew that Russia was trying to gain a corner on the U.S. market, get a strong hold on our uranium, and without a doubt we knew they were using political levers to try to get their way here.",Repetition,without a shred of doubt,709732928,,,,,,,,,,,,,,,
"This person said without a shred of doubt, we knew in 2009 a year before CFIUS ruled that Thomas were engaged in criminality, without a shadow of a doubt, we knew that Russia was trying to gain a corner on the U.S. market, get a strong hold on our uranium, and without a doubt we knew they were using political levers to try to get their way here.",Repetition,without a doubt,709732928,,,,,,,,,,,,,,,
"This person said without a shred of doubt, we knew in 2009 a year before CFIUS ruled that Thomas were engaged in criminality, without a shadow of a doubt, we knew that Russia was trying to gain a corner on the U.S. market, get a strong hold on our uranium, and without a doubt we knew they were using political levers to try to get their way here.",Repetition,without a shadow of a doubt,709732928,,,,,,,,,,,,,,,
This position which is really simple and easily to be understood has been clearly and convincingly presented – since the statement of the two bishops [Marx and Bode] – by several Christians: by Archbishops Ludwig Schick (Germany) and Charles Chaput (USA); by the German-speaking theologians Hubert Windisch and Markus Büning.,Thought-terminating_Cliches,This position which is really simple and easily to be understood,730559808,,,,,,,,,,,,,,,
"This possibility is owed, furthermore, to a death by one of the cruelest means ever devised, unjustly inflicted on one supremely innocent Man who was God, in a miscarriage of human justice beyond any the world could ever have imagined.","Exaggeration,Minimisation",a miscarriage of human justice beyond any the world could ever have imagined,777488669,,,,,,,,,,,,,,,
"This possibility is owed, furthermore, to a death by one of the cruelest means ever devised, unjustly inflicted on one supremely innocent Man who was God, in a miscarriage of human justice beyond any the world could ever have imagined.","Exaggeration,Minimisation",one of the cruelest means ever devised,777488669,,,,,,,,,,,,,,,
This provocation was the first of two major spring military exercises planned by the US and its reluctant South Korean satrap.,"Name_Calling,Labeling",reluctant,757713354,,,,,,,,,,,,,,,
This provocation was the first of two major spring military exercises planned by the US and its reluctant South Korean satrap.,Loaded_Language,satrap,757713354,,,,,,,,,,,,,,,
This provocation was the first of two major spring military exercises planned by the US and its reluctant South Korean satrap.,"Name_Calling,Labeling",provocation,757713354,,,,,,,,,,,,,,,
This scandal has set off a feeding frenzy as Internet sleuths search for other incidents in which Franken has acted inappropriately.,Loaded_Language,feeding frenzy,707772906,,,,,,,,,,,,,,,
"This schizophrenia is the model under which “conservatives” have operated all this time, and by which they have judged a man like Joseph Ratzinger to be a “conservative champion of orthodoxy.” And what has this achieved?","Name_Calling,Labeling",conservative champion of orthodoxy.”,738207834,,,,,,,,,,,,,,,
"This schizophrenia is the model under which “conservatives” have operated all this time, and by which they have judged a man like Joseph Ratzinger to be a “conservative champion of orthodoxy.” And what has this achieved?",Loaded_Language,schizophrenia,738207834,,,,,,,,,,,,,,,
"This second memo of mine was also never returned to the Personnel Office, and I was greatly dismayed at my superiors for the inconceivable absence of any measure against the Cardinal, and for the continuing lack of any communication with me since my first memo in December 2006.",Loaded_Language,greatly dismayed,782086447,,,,,,,,,,,,,,,
This stealth proselytizing is nationwide.,Repetition,proselytizing,757611486,,,,,,,,,,,,,,,
This stunning testimony is obviously a huge bombshell in the ongoing investigation of the Las Vegas mass shooting and is sure to continue to add credence to the growing belief that we are not being told what actually happened that fateful night.,Doubt,we are not being told what actually happened that fateful night,697444415,,,,,,,,,,,,,,,
This stunning testimony is obviously a huge bombshell in the ongoing investigation of the Las Vegas mass shooting and is sure to continue to add credence to the growing belief that we are not being told what actually happened that fateful night.,Doubt,a huge bombshell in the ongoing investigation,697444415,,,,,,,,,,,,,,,
This stunning testimony is obviously a huge bombshell in the ongoing investigation of the Las Vegas mass shooting and is sure to continue to add credence to the growing belief that we are not being told what actually happened that fateful night.,Loaded_Language,huge bombshell,697444415,,,,,,,,,,,,,,,
This stunning tower audio once again provides proof that the entire narrative that claims that Stephen Paddock operated alone from the 32nd floor of the Mandalay Bay Hotel is complete nonsense and that authorities are actually actively covering up what really happened on that fateful night.,Loaded_Language,stunning tower audio,703806098,,,,,,,,,,,,,,,
This stunning tower audio once again provides proof that the entire narrative that claims that Stephen Paddock operated alone from the 32nd floor of the Mandalay Bay Hotel is complete nonsense and that authorities are actually actively covering up what really happened on that fateful night.,Doubt,authorities are actually actively covering up what really happened,703806098,,,,,,,,,,,,,,,
This stunning tower audio once again provides proof that the entire narrative that claims that Stephen Paddock operated alone from the 32nd floor of the Mandalay Bay Hotel is complete nonsense and that authorities are actually actively covering up what really happened on that fateful night.,Loaded_Language,complete nonsense,703806098,,,,,,,,,,,,,,,
"This suggested, of course, that giving advice on how to prevent another 9/11, and all other Jihadist attacks against America, is now against Facebook’s ‘community standards’.","Name_Calling,Labeling",Jihadist attacks,787002327,,,,,,,,,,,,,,,
"This suggested, of course, that giving advice on how to prevent another 9/11, and all other Jihadist attacks against America, is now against Facebook’s ‘community standards’.",Causal_Oversimplification,"This suggested, of course, that giving advice on how to prevent another 9/11, and all other Jihadist attacks against America, is now against Facebook’s ‘community standards",787002327,,,,,,,,,,,,,,,
"This temporary shakeup of temperatures could happen again, though the researchers say it will have very little effect on the overall global warming trend that mankind has created for itself.",Appeal_to_Authority,researchers say it will have very little effect on the overall global warming trend that mankind has created for itself,729581752,,,,,,,,,,,,,,,
"This theological error, which Bergoglio has exploited to the hilt, is a key element in the related error of papalotry, which elevates the person of the Pope above the office he occupies and makes of him the leader of a personality cult everyone is commanded to “love” (in the superficially emotional sense) and obey no matter what he says or does, rather than a custodian and defender of the Deposit of Faith whose lovability, personality and opinions are utterly irrelevant to the exercise and scope of his office.",Loaded_Language,has exploited to the hilt,788056108,,,,,,,,,,,,,,,
"This theological error, which Bergoglio has exploited to the hilt, is a key element in the related error of papalotry, which elevates the person of the Pope above the office he occupies and makes of him the leader of a personality cult everyone is commanded to “love” (in the superficially emotional sense) and obey no matter what he says or does, rather than a custodian and defender of the Deposit of Faith whose lovability, personality and opinions are utterly irrelevant to the exercise and scope of his office.","Name_Calling,Labeling","a custodian and defender of the Deposit of Faith whose lovability, personality and opinions are utterly irrelevant to the exercise and scope of his office",788056108,,,,,,,,,,,,,,,
"This theological error, which Bergoglio has exploited to the hilt, is a key element in the related error of papalotry, which elevates the person of the Pope above the office he occupies and makes of him the leader of a personality cult everyone is commanded to “love” (in the superficially emotional sense) and obey no matter what he says or does, rather than a custodian and defender of the Deposit of Faith whose lovability, personality and opinions are utterly irrelevant to the exercise and scope of his office.","Name_Calling,Labeling",the leader of a personality cult everyone is commanded to “love” (in the superficially emotional sense) and obey no matter what he says or does,788056108,,,,,,,,,,,,,,,
"This theological error, which Bergoglio has exploited to the hilt, is a key element in the related error of papalotry, which elevates the person of the Pope above the office he occupies and makes of him the leader of a personality cult everyone is commanded to “love” (in the superficially emotional sense) and obey no matter what he says or does, rather than a custodian and defender of the Deposit of Faith whose lovability, personality and opinions are utterly irrelevant to the exercise and scope of his office.",Loaded_Language,utterly,788056108,,,,,,,,,,,,,,,
This throws their entire narrative into question and makes one wonder what else is being hidden from the public?,Doubt,This throws their entire narrative into question and makes one wonder what else is being hidden from the public?,695833178,,,,,,,,,,,,,,,
This tired farce has dragged on.,Loaded_Language,tired farce,771406408,,,,,,,,,,,,,,,
"This too is something that we have always known, but today we are seeing it in a really terrifying way: that the greatest persecution of the Church comes not from her enemies without, but arises from sin within the Church, and that the Church thus has a deep need to relearn penance, to accept purification, to learn forgiveness on the one hand, but also the need for justice.",Loaded_Language,"a deep need to relearn penance, to accept purification, to learn forgiveness",783702663,,,,,,,,,,,,,,,
"This too is something that we have always known, but today we are seeing it in a really terrifying way: that the greatest persecution of the Church comes not from her enemies without, but arises from sin within the Church, and that the Church thus has a deep need to relearn penance, to accept purification, to learn forgiveness on the one hand, but also the need for justice.",Loaded_Language,a really terrifying way,783702663,,,,,,,,,,,,,,,
"This troubling issue arose again yesterday, November 2, in the Washington Post in an article entitled “Tantalizing Mystery of JFK Assassination Files Solved – 23 Years Ago.” In the article, author Ian Shapira points out that among the long-secret CIA records that were recently released was a deposition of former CIA Director Richard Helms taken in 1975 before the President’s Commission on CIA Activities, which stated as follows:",Loaded_Language,Tantalizing Mystery,703821117,,,,,,,,,,,,,,,
This truth was lost or buried in a media witch-hunt that disgracefully associated Assange with rape and misogyny.,Loaded_Language,a media witch-hunt,765385479,,,,,,,,,,,,,,,
This warning will infuriate environmental campaigners who argue by 2030 the world faces increased sea levels and flooding due to glacial melt at the poles and a warming of the globe.,"Whataboutism,Straw_Men,Red_Herring",This warning will infuriate environmental campaigners who argue by 2030 the world faces increased sea levels and flooding due to glacial melt at the poles and a warming of the globe,716469423,,,,,,,,,,,,,,,
This warning will infuriate environmental campaigners who argue by 2030 the world faces increased sea levels and flooding due to glacial melt at the poles and a warming of the globe.,Loaded_Language,will infuriate,716469423,,,,,,,,,,,,,,,
This was a terrible insult and could spark decisions by at least Japan to proceed ahead with its covert nuclear program.,Loaded_Language,terrible insult,766942310,,,,,,,,,,,,,,,
"This was done, over Ottaviani’s futile objections, and new documents were rapidly cobbled together by a coalition of German and French “progressives” who rejoiced that they had, in effect, seized control of the Council from that moment, before it had even started.","Name_Calling,Labeling",progressives,738207834,,,,,,,,,,,,,,,
"This was done, over Ottaviani’s futile objections, and new documents were rapidly cobbled together by a coalition of German and French “progressives” who rejoiced that they had, in effect, seized control of the Council from that moment, before it had even started.",Loaded_Language,futile objections,738207834,,,,,,,,,,,,,,,
"This was precisely what he’d been saying when he was cardinal and archbishop in Buenos Aires, she said, that no one ever came forward with information, and there were never any cases of clerical abuse in the entirety of the two-million-plus member Archdiocese of Buenos Aires.","Exaggeration,Minimisation",there were never any cases of clerical abuse in the entirety of the two-million-plus member Archdiocese of Buenos Aires,730268758,,,,,,,,,,,,,,,
This was the obstruction tactic of choice of the left for trying to secure the Court seat before they fastened on to this latest smear.,Loaded_Language,latest smear,787759779,,,,,,,,,,,,,,,
"This was the pope laying out his policy regarding homosexuality, a policy for which he was duly rewarded by being lauded on the cover of the homosexualist lobby’s US trade magazine.",Loaded_Language,duly rewarded,729578579,,,,,,,,,,,,,,,
"This was the same Clinton who threatened to “obliterate totally” Iran and, who, as U.S. secretary of State in 2011, was one of the instigators of the invasion and destruction of Libya as a modern state, with the loss of 40,000 lives.",Loaded_Language,obliterate totally,765385479,,,,,,,,,,,,,,,
"This was the same Clinton who threatened to “obliterate totally” Iran and, who, as U.S. secretary of State in 2011, was one of the instigators of the invasion and destruction of Libya as a modern state, with the loss of 40,000 lives.","Name_Calling,Labeling",one of the instigators of the invasion and destruction of Libya as a modern state,765385479,,,,,,,,,,,,,,,
This was typical of the worthless assurances that Obama officials made.,Loaded_Language,worthless,762160164,,,,,,,,,,,,,,,
This was unjust.,"Name_Calling,Labeling",unjust,770938827,,,,,,,,,,,,,,,
This was unjust.,"Name_Calling,Labeling",unjust,770956434,,,,,,,,,,,,,,,
"This was, remember, 1965, four years before the New Mass was issued and before Cardinal Ottaviani warned the pope that it was precisely this sacramental reality that was about to be catastrophically obscured.",Loaded_Language,this sacramental reality that was about to be catastrophically obscured,696694316,,,,,,,,,,,,,,,
This wasn’t a get-out-the-vote effort or whatever they say.,"Name_Calling,Labeling",get-out-the-vote effort,786527921,,,,,,,,,,,,,,,
This wasn’t empty rhetoric.,Loaded_Language,empty rhetoric,727569885,,,,,,,,,,,,,,,
"This whole idea of a two-state solution, it doesn’t work.”",Repetition,it doesn’t work,999000184,,,,,,,,,,,,,,,
"This will be a final victory over the enemies within and their apologists, such as Faggioli, who, in typical neo-Catholic style, imperiously scoffs at the notion of “a young clergy marked by personal sanctity but also by a fascination for a mythical Middle Ages” and busies himself defending an unsalvageable mass of corruption he dares to describe as “a Church-world relationship based on a principle of reality.”","Name_Calling,Labeling",a Church-world relationship based on a principle of reality,783702663,,,,,,,,,,,,,,,
"This will be a final victory over the enemies within and their apologists, such as Faggioli, who, in typical neo-Catholic style, imperiously scoffs at the notion of “a young clergy marked by personal sanctity but also by a fascination for a mythical Middle Ages” and busies himself defending an unsalvageable mass of corruption he dares to describe as “a Church-world relationship based on a principle of reality.”",Repetition,a young clergy marked by personal sanctity but also by a fascination for a mythical Middle Ages,783702663,,,,,,,,,,,,,,,
"This will be a final victory over the enemies within and their apologists, such as Faggioli, who, in typical neo-Catholic style, imperiously scoffs at the notion of “a young clergy marked by personal sanctity but also by a fascination for a mythical Middle Ages” and busies himself defending an unsalvageable mass of corruption he dares to describe as “a Church-world relationship based on a principle of reality.”",Loaded_Language,imperiously scoffs,783702663,,,,,,,,,,,,,,,
"This will be a final victory over the enemies within and their apologists, such as Faggioli, who, in typical neo-Catholic style, imperiously scoffs at the notion of “a young clergy marked by personal sanctity but also by a fascination for a mythical Middle Ages” and busies himself defending an unsalvageable mass of corruption he dares to describe as “a Church-world relationship based on a principle of reality.”",Loaded_Language,an unsalvageable mass of corruption,783702663,,,,,,,,,,,,,,,
"This will not only serve to bolster the Assad regime, but it also will strengthen Iran's ability to follow through on its threats to the U.S. and its allies, principally Israel.",Appeal_to_fear-prejudice,"This will not only serve to bolster the Assad regime, but it also will strengthen Iran's ability to follow through on its threats to the U.S. and its allies, principally Israel",699478811,,,,,,,,,,,,,,,
"This will probably end up being another Ukraine situation, something we just don't need to be in, and yes, I know, I'll be called a liberal but honest readers who have followed me for some time know that's not the case.","Name_Calling,Labeling",honest,755459860,,,,,,,,,,,,,,,
This willful ignorance leads to a diversion and waste of resources that is astronomical and catastrophic.,Loaded_Language,astronomical and catastrophic,741923579,,,,,,,,,,,,,,,
This willful ignorance leads to a diversion and waste of resources that is astronomical and catastrophic.,Loaded_Language,astronomical and catastrophic,741802985,,,,,,,,,,,,,,,
"This would actually be the perfect time for Trump not to appoint an ambassador to the UN and call for the US to exit the anti-American organization and demand Congress stop funding it and evict the UN from US soil, but I'm not holding my breath.",Flag-Waving,anti-American,793921939,,,,,,,,,,,,,,,
"This would be achieved, they wrote, with threats of “exposure [and] criminal prosecution” and a unrelenting assault on reputation.",Loaded_Language,a unrelenting assault,765385479,,,,,,,,,,,,,,,
"This “I’m offended” or “his gun scares me” complaint is nothing but cover for little Nazis to try and deny another person their Natural, God-given liberty.",Flag-Waving,"This “I’m offended” or “his gun scares me” complaint is nothing but cover for little Nazis to try and deny another person their Natural, God-given liberty",737194975,,,,,,,,,,,,,,,
"This, he says, is “bad for evangelization,” and in order to keep the pews full, the Church’s role should not be to deny communion to the divorced and remarried, but instead to ask, “What can the Catholic Church do to make the faithful able to receive sacraments?”",Appeal_to_fear-prejudice,"bad for evangelization,”",727869189,,,,,,,,,,,,,,,
"Those are important discrepancies, and if six years ago she told the therapist four men and says two men now, that suggests that her memory of the event may be suspect.",Doubt,"and if six years ago she told the therapist four men and says two men now, that suggests that her memory of the event may be suspect",787668628,,,,,,,,,,,,,,,
Those close to him are extremely worried.,Loaded_Language,extremely worried,778139122,,,,,,,,,,,,,,,
"Those conflicts, mostly centered on migration since people fleeing war and poverty in the Middle East and Africa flooded into Europe in 2015, have intensified as the elections approach and Orban poses as a savior of Europe’s Christian nations.",Flag-Waving,as a savior of Europe’s Christian nations,732610971,,,,,,,,,,,,,,,
"Those conflicts, mostly centred on migration since people fleeing war and poverty in the Middle East and Africa flooded into Europe in 2015, have intensified as the elections approach and Orban poses as a saviour of Europe's Christian nations.",Flag-Waving,Orban poses as a saviour of Europe's Christian nations,731927633,,,,,,,,,,,,,,,
"Those long-secret records undoubtedly include small bits of important circumstantial evidence that fill out even further the mosaic of a regime-change operation that took place in Dallas in November 1963, the same types of regime-change operation that took place in Iran in 1953, Guatemala in 1954, Cuba in 1960-1963, Congo in 1961, and Chile in 1973, all of which the CIA steadfastly kept secret from the American people.",Flag-Waving,the CIA steadfastly kept secret from the American people,700551604,,,,,,,,,,,,,,,
Those that have been engaging in this sort of shameful behavior have got to go because we simply are not going to put up with it anymore.,Appeal_to_fear-prejudice,Those that have been engaging in this sort of shameful behavior have got to go because we simply are not going to put up with it anymore,707451080,,,,,,,,,,,,,,,
Those who love our Holy Mother – those who want to protect her boys and men from all the McCarricks and their perverse appetites – mustn’t be deceived into thinking this is a small or an isolated issue.,Loaded_Language,perverse,782017101,,,,,,,,,,,,,,,
"Those “reforms” included abandonment of the Vatican’s strict pre-conciliar instruction (1961) that “advancement to religious vows and ordination should be barred to those who are afflicted with evil tendencies to homosexuality or pederasty, since for them the common life and the priestly ministry would constitute serious dangers.” Today, neo-Catholic commentators, cowed by the demands of political correctness, refuse to state the simple truth that homosexuality is a perversion that precludes ordination as does any other grave psychological disorder.",Loaded_Language,cowed by,783702663,,,,,,,,,,,,,,,
"Those “reforms” included abandonment of the Vatican’s strict pre-conciliar instruction (1961) that “advancement to religious vows and ordination should be barred to those who are afflicted with evil tendencies to homosexuality or pederasty, since for them the common life and the priestly ministry would constitute serious dangers.” Today, neo-Catholic commentators, cowed by the demands of political correctness, refuse to state the simple truth that homosexuality is a perversion that precludes ordination as does any other grave psychological disorder.",Causal_Oversimplification,"Today, neo-Catholic commentators, cowed by the demands of political correctness, refuse to state the simple truth that homosexuality is a perversion that precludes ordination as does any other grave psychological disorder",783702663,,,,,,,,,,,,,,,
"Those “reforms” included abandonment of the Vatican’s strict pre-conciliar instruction (1961) that “advancement to religious vows and ordination should be barred to those who are afflicted with evil tendencies to homosexuality or pederasty, since for them the common life and the priestly ministry would constitute serious dangers.” Today, neo-Catholic commentators, cowed by the demands of political correctness, refuse to state the simple truth that homosexuality is a perversion that precludes ordination as does any other grave psychological disorder.",Appeal_to_fear-prejudice,"advancement to religious vows and ordination should be barred to those who are afflicted with evil tendencies to homosexuality or pederasty, since for them the common life and the priestly ministry would constitute serious dangers",783702663,,,,,,,,,,,,,,,
"Those, however, who maintain its continued use often see it more as a tool for revenge.","Name_Calling,Labeling",a tool for revenge,777488669,,,,,,,,,,,,,,,
"Thou shalt not pity him, but shalt require life for life, eye for eye, tooth for tooth, hand for hand, foot for foot” (Deut.",Repetition,"life for life, eye for eye, tooth for tooth, hand for hand, foot for foot",777488669,,,,,,,,,,,,,,,
"Thought Judge Brett Kavanaugh has been through at least 6 FBI background checks, because of Senate Democrat temper tantrums and RINO Republican Senator Jeff Flake's desire to have another FBI investigation into allegations of sexual misconduct by Kavanaugh with zero evidence, President Trump succumbed to the pressure and issued an executive order on Friday that authorizes another FBI background check into Kavanaugh.",Loaded_Language,temper tantrums,790777028,,,,,,,,,,,,,,,
"Thousands of U.S. dead, tens of thousands of wounded, trillions of dollars sunk, and a Mideast awash in blood from Afghanistan to Iraq, Libya, Syria and Yemen, with millions uprooted and homeless.",Loaded_Language,millions uprooted and homeless,761674108,,,,,,,,,,,,,,,
"Thousands of U.S. dead, tens of thousands of wounded, trillions of dollars sunk, and a Mideast awash in blood from Afghanistan to Iraq, Libya, Syria and Yemen, with millions uprooted and homeless.",Flag-Waving,U.S. dead,761674108,,,,,,,,,,,,,,,
"Thousands of U.S. dead, tens of thousands of wounded, trillions of dollars sunk, and a Mideast awash in blood from Afghanistan to Iraq, Libya, Syria and Yemen, with millions uprooted and homeless.",Loaded_Language,trillions of dollars sunk,761674108,,,,,,,,,,,,,,,
"Thousands of U.S. dead, tens of thousands of wounded, trillions of dollars sunk, and a Mideast awash in blood from Afghanistan to Iraq, Libya, Syria and Yemen, with millions uprooted and homeless.",Loaded_Language,tens of thousands of wounded,761674108,,,,,,,,,,,,,,,
"Thousands of U.S. dead, tens of thousands of wounded, trillions of dollars sunk, and a Mideast awash in blood from Afghanistan to Iraq, Libya, Syria and Yemen, with millions uprooted and homeless.",Loaded_Language,awash in blood,761674108,,,,,,,,,,,,,,,
"Three of the videos were put out by Duke’s official website, DavidDuke.com, one referring to CNN news anchor Wolf Blitzer as a “Jewish Zionist Agent.” The fourth video was a news report featuring a clip of Duke being interviewed at a white nationalist rally held in Charlottesville, Virginia this past August.","Name_Calling,Labeling",“Jewish Zionist Agent.”,701225819,,,,,,,,,,,,,,,
"Three statewide races in Florida are headed to a recount and all depend on results from a county whose supervisor of elections has a history of losing ballots and breaking laws by allowing illegal immigrants and felons to vote, as well as illegally destroying ballots.",Flag-Waving,"a county whose supervisor of elections has a history of losing ballots and breaking laws by allowing illegal immigrants and felons to vote, as well as illegally destroying ballots",999001226,,,,,,,,,,,,,,,
"Throughout his book, Wills’ assurances that the Qur’an is not really as bad as “right-wing Islamophobes” say, or that the Bible contains material that is just as bad or worse, dissolve under close scrutiny.","Name_Calling,Labeling",“right-wing Islamophobes”,764664283,,,,,,,,,,,,,,,
"Throughout his book, Wills’ assurances that the Qur’an is not really as bad as “right-wing Islamophobes” say, or that the Bible contains material that is just as bad or worse, dissolve under close scrutiny.","Whataboutism,Straw_Men,Red_Herring",the Bible contains material that is just as bad or worse,764664283,,,,,,,,,,,,,,,
"Throughout the day, Trump and Kim's body language was openly friendly, a striking warmth given Kim's iron grip on power and dismal record on human rights.",Loaded_Language,striking,111111131,,,,,,,,,,,,,,,
"Thus did Paul describe the conciliar “opening to the world” through which the world promptly invaded the Church, including large numbers of homosexuals who should never have been admitted to the seminary.",Causal_Oversimplification,"Thus did Paul describe the conciliar “opening to the world” through which the world promptly invaded the Church, including large numbers of homosexuals who should never have been admitted to the seminary",783702663,,,,,,,,,,,,,,,
"Thus, explained the cardinal, the Sacraments have to be celebrated the way Christ Himself willed it when he instituted them.",Appeal_to_Authority,the Sacraments have to be celebrated the way Christ Himself willed it when he instituted them,730573740,,,,,,,,,,,,,,,
"Thus, given that Helms was an admitted perjurer and convicted liar, what value does his denial that Oswald was an intelligence agent have?","Name_Calling,Labeling",admitted perjurer and convicted liar,703821117,,,,,,,,,,,,,,,
"Thus, it is threatening U.S. forces and bases in the region.",Appeal_to_fear-prejudice,"Thus, it is threatening U.S. forces and bases in the region",699478811,,,,,,,,,,,,,,,
"Thus, it took more than a year-and-a-half for the Factory to roll out the old reliable “mistranslation” defense to explain away the infamous paragraph 303 of Amoris Laetita (AL), which reads as follows in the official English translation on the Vatican website:",Loaded_Language,the old reliable “mistranslation,694327499,,,,,,,,,,,,,,,
"Thus, the idea that separating children from their parents as being something new, done only by the Trump Administration is absurd, since we really have no idea whether the children brought here during the Obama reign were intentionally separated from their parents by the US government at that time, or not.",Repetition,separated,766084411,,,,,,,,,,,,,,,
"Thus, the idea that separating children from their parents as being something new, done only by the Trump Administration is absurd, since we really have no idea whether the children brought here during the Obama reign were intentionally separated from their parents by the US government at that time, or not.",Loaded_Language,absurd,766084411,,,,,,,,,,,,,,,
"Thus, the idea that separating children from their parents as being something new, done only by the Trump Administration is absurd, since we really have no idea whether the children brought here during the Obama reign were intentionally separated from their parents by the US government at that time, or not.",Repetition,separating,766084411,,,,,,,,,,,,,,,
"Thus, we clearly gauge that there is no disgusting and venomous level to which the Left will not stoop in its destructive agenda.",Loaded_Language,disgusting and venomous level,787002327,,,,,,,,,,,,,,,
"Thus, we clearly gauge that there is no disgusting and venomous level to which the Left will not stoop in its destructive agenda.",Loaded_Language,destructive agenda,787002327,,,,,,,,,,,,,,,
"Thus, when Oswald was claiming that he was being framed, there could be only one entity that he could have been thinking about: the CIA, the agency whose officials, as former Washington Post investigative reporter Jefferson Morley has documented, were secretly monitoring his activities in the weeks leading up to the assassination, no doubt to ensure that Oswald had not figured out what was about to happen to him.",Causal_Oversimplification,"were secretly monitoring his activities in the weeks leading up to the assassination, no doubt to ensure that Oswald had not figured out what was about to happen to him",703821117,,,,,,,,,,,,,,,
"Thus, when Oswald was claiming that he was being framed, there could be only one entity that he could have been thinking about: the CIA, the agency whose officials, as former Washington Post investigative reporter Jefferson Morley has documented, were secretly monitoring his activities in the weeks leading up to the assassination, no doubt to ensure that Oswald had not figured out what was about to happen to him.",Causal_Oversimplification,"when Oswald was claiming that he was being framed, there could be only one entity that he could have been thinking about: the CIA",703821117,,,,,,,,,,,,,,,
"Time for Congress to impeach Saris and to remove authority from lesser courts to review immigration law enforcement, detention, and deportation decisions.",Black-and-White_Fallacy,Time for Congress to impeach Saris and to remove authority from lesser courts,706088110,,,,,,,,,,,,,,,
"Time for the laity to demand a new Shepherd.” Even Michael Voris, in a highly amusing example of leading from behind, has finally abandoned his absurd refusal to criticize this pontificate and now declares with a screaming headline: “Pope Francis Must Resign.”",Slogans,Pope Francis Must Resign,783702663,,,,,,,,,,,,,,,
"Time for the laity to demand a new Shepherd.” Even Michael Voris, in a highly amusing example of leading from behind, has finally abandoned his absurd refusal to criticize this pontificate and now declares with a screaming headline: “Pope Francis Must Resign.”",Loaded_Language,screaming headline,783702663,,,,,,,,,,,,,,,
Time is running out for native-born workers—a.k.a.,Thought-terminating_Cliches,Time is running out,761969038,,,,,,,,,,,,,,,
"Tina Dupuy writes in The Atlantic that Franken put his hand around her waist while the pair posed for a photo and squeezed ""at least twice"" during an event in 2009.",Loaded_Language,"and squeezed ""at least twice""",111111115,,,,,,,,,,,,,,,
